公司,公司行业,经验学历,职位,工资,位置,公司描述,职位描述（大概）,福利（大概）,福利待遇（详细）,职位描述,公司介绍
盛世红园艺,电子商务,1-3年高中,电商客服,3-4K,漳州,电子商务不需要融资0-20人,"电商客服
在线客服
淘宝店铺客服",加班补助，全勤奖,加班补助全勤奖,淘宝店铺客服回复消息以及配单,绿植电商
正乾园艺,农/林/牧/渔,在校/应届大专,园艺生产技术员,3-4K,嘉兴·海宁市,农/林/牧/渔未融资20-99人,"生产技术员
园艺
能力强
生产管理
产品",,,进口绣球的繁育及生产管理/进口铁线莲的繁育及生产管理；专业领域细分化市场的园艺产品，进口各种植物产品的品种适应性的筛选,在2017年6月成立了海宁正乾园艺有限公司，它是一家致力于传播园艺文化、分享种植技巧，以互联网+园艺的方式对园艺一个全新的尝试。整合国内外优秀育种家及园艺公司，运用园艺新媒体传播及IP文化综合的运用，希望让园艺传播的更快很广更深入家庭的每一个人。
金海公司,农/林/牧/渔,不限本科,园艺,2-3K,贵阳,农/林/牧/渔20-99人,"园艺
技术研究
生产安全
技术体系",,,园艺、果树、植保专业毕业，爱好园艺生产研究。主要从事梨、葡萄生产安全与技术研究，协助国家梨产业技术体系贵阳综合试验站站长试验示范工作。,
凯光集团,房地产开发,5-10年中专/中技,园艺师,5-8K,新余,房地产开发未融资500-999人,"病虫害防治
园艺
园艺师
农业技术
科技",包吃，景区免费游玩，节日福利，补充医疗保险,补充医疗保险包吃节日福利景区免费游玩,具备园艺科学的基本知识与技能，从事果树栽培、育（制）种、良种繁育、商品化生产、病虫害防治、产品贮藏加工及应用性科技试验、农业技术开发与推广等工作，,凯光集团创立于2007年，是一家集房地产投资开发、工程建设、物业管理、商业管理、休闲旅游综合体建设于一身的综合企业，历经十一年的稳健发展，形成凯光旅游、凯光工业、凯光建设、凯光酒店、凯光物业、凯光地产六大产业。目前在江西的主要产业有新余凯光新天地旅游度假区、萍乡凯光新天地旅游度假区、凯光维也纳酒店
西山金岭公司,农/林/牧/渔,不限大专,园艺师,3-7K,邢台,农/林/牧/渔不需要融资20-99人,"园艺
果树栽培
病虫害防治
园艺师
园区规划",员工旅游，加班补助，全勤奖，带薪年假，包吃，交通补助，年终奖，五险一金，节日福利,五险一金加班补助全勤奖年终奖带薪年假员工旅游交通补助包吃节日福利,具备园艺科学园区规划的基本知识与技能，进行果树栽培、育（制）种、良种繁育、商品化生产、病虫害防治、产品贮藏加工及应用性科技试验、农业技术开发与推广等工作,邢台西山金岭农业开发有限公司成立于2014年08月22日，注册资金3000万元，在营一个果树种植园及一个现代农业产业园项目，总占地面积11000亩。是一家集产、研、销为一体的大型综合性农业开发公司。现因公司发展需要，向社会招募有志之士共同发展。
东方英宝,工程施工,不限硕士,园艺师,6-10K,德州,工程施工不需要融资100-499人,"种植技术
园艺
无土栽培技术
种植人员
园艺师",五险一金,五险一金,技能要求：种植技术技能要求：种植技术岗位职责：1、温室内的生产种植管理， 制定作物栽培计划，对实施结果进行总结分析，达成种植目标。2、提出农业生产技术管理意见并组织实施，解决种植生产过程中的技术问题。3、对实施结果进行总结分析，指导种植人员掌握技术要点。搞好虫情、病情测报、预报工作，撰写调查报告和技术工作小结。4、带领种植团队，保证种植区内作物的正常生长。5、为客户提供技术指导和咨询。任职要求：1. 园艺或农学专业本科及以上学历（应届毕业生优先考虑）。2. 熟悉无土栽培技术，专业功底扎实，热爱本专业。3. 英语四级以上，能用英文阅读和沟通。4.有良好的职业素养和道德， 吃苦耐劳， 具备优秀的沟通能力，团队协作精神。5.具有较强的工作热情和责任感，能够接受出差或短期外派。** 请申请者投递简历前认真浏览公司网站，了解公司业务。,北京东方英宝联合技术有限公司成立于2001年，是获得国家高新技术企业认证并通过 ISO9001质量管理体系认证的生产型企业，公司集园区规划、设计、温室设备生产制造、施工及技术指导于一体，为用户提供现代温室和花园中心建设服务。公司主营业务60%在国内，同时产品连续出口到欧洲、北美、韩国、日本、越南、台
尧山花海,旅游,3-5年不限,园艺师,3-7K,平顶山,旅游不需要融资20-99人,"园艺师
管理",,,花草种植、养护服从管理，吃苦耐劳,尧山花海景区位于河南省平顶山市鲁山县尧山镇境内，一期建设面积1588亩，由河南尧山花海旅游开发股份有限公司投资8000余万元，依托当地群山怀抱、碧水环流的地理优势；发掘尧山地区优秀传统文化；借鉴世界各地园艺与花海经营理念；结合中华园林建设精髓，在尊重自然、彰显文化的基础之上，倾心打造而成。尧山花海
无花了居,装修装饰,1-3年大专,园艺师,3-8K,长沙·雨花区,装修装饰不需要融资0-20人,"庭院设计
植物种植
植物习性
方案及施工图设计
园林景观设计师",包吃，年终奖，节日福利，全勤奖，员工旅游，五险,全勤奖年终奖员工旅游包吃节日福利五险,园林景观设计师：1、懂植物习性、热爱植物，有动手能力； 2、会基本办公软件及制图+建模软件；3、有多年园林设计及施工经验；4、工作态度认真，热情积极不任性5、有团队荣誉感且执行力强 ；岗位职责:能独立完成中小型景观设计方案及施工图设计；熟练操作 AUTOCAD、3DMAX、PHOTOSHOP等 软件；对工程价格体系及工地现场有一定的了解；你拿出热情+执行力+学习力 無花给你提供发展平台和深度学习机会。,长沙无花了居空间设计有限公司（简称無花了居） 一个花器及室内外饰品设计及生产公司。公司成立于2012年，此时無花胜有花，了然于心居于舍，故名为無花了居。旨在给植物安一个家，也回归本源，用自然有温度的设计饰品来丰富和点亮家。無花·了居以植物为本，致力于自然空间及产品设计。空间设计以自然风
优渥教育,学前教育,1年以内大专,园艺师,4-6K,郑州·金水区,学前教育不需要融资100-499人,"园林类
园艺师
幼教行业
幼儿教育
幼儿园",,,一、岗位职责：1.从事幼儿教育园林相关知识及技能的教授；2.熟知蔬菜、花卉、果树或茶叶等作物的遗传资源、遗传育种、栽培和产后处理等等知识并能够通过教学技巧传授给孩子；3.能够为孩子组织实操性质的小活动，让孩子实地体验；4.配合幼儿园的教研工作，幼儿园艺课程的开发及设置工作5.其他院内辅助性的工作。任职资格：1.园林、植物等相关专业毕业优先，特别感兴趣有一定经验的也可2.大专及以上学历3.热爱幼教行业，喜欢孩子4.细心、耐心、善良优渥世家起步与世界同步国际高端幼儿园艺术指导老师现在火热招聘中大平台等你绽放光彩！欢迎咨询和加入！周末双休交统筹含食宿各种优质资源及平台全面提升自己工作地址平原新区丹江路与嘉陵江路交叉口绿地泰晤士城,民享财富起源于2010年，致力于为高净值资产个人、家庭及企业提供财富管理服务，秉承"已所欲，施于人"的价值理念，从客户投资需求出发，提供丰富多样的金融投资产品，帮助投资人保有财富，增值财富，传承财富。2015年，民享财富和东方富海达成战略合作，强强联合，在深圳共同出资成立
华懿俱乐部,音乐/视频/阅读,5-10年不限,园艺师,5-7K,北京,音乐/视频/阅读不需要融资20-99人,"产业地产
园区景观
绿化管理
园艺师
蔬菜种植",五险一金，员工旅游，全勤奖，带薪年假，定期体检，加班补助,五险一金定期体检加班补助全勤奖带薪年假员工旅游,种植果树1、负责园区果树、蔬菜种植及管理，包含施肥、治虫、修剪枝叶等，提升园区景观品质；2、熟练掌握植物、蔬菜花卉生长及特性专业知识，精通花果树木养育、管护、绿化管理；3、要求有5年以上工作经验。,
清尘环保,其他行业,3-5年大专,园艺师,6-8K,郑州·金水区,其他行业未融资10000人以上,"病虫害防治
园艺
园艺师
绿植养护
养护管理工作",五险一金，年终奖，带薪年假，员工旅游，餐补，交通补助,五险一金年终奖带薪年假员工旅游餐补交通补助,岗位职责：1、负责绿化区域的养护管理工作；2、按规程对花、草、树木及时进行修剪、整形、清理、施肥、防病治虫等，保持绿化四季处于良好状态，确保花木、绿植的成活率；3、负责对公司绿植养护知识进行讲解传授；4、定时向部门汇报工作情况；5、完成上级领导交办的其它工作。任职要求：1、园林景观相关专业大专以上学历，具有园林、园艺类相关证书优先；2、三年以上绿植养护、园艺等相关工作经验；3、熟悉各种植物、花卉类型、品种特性，熟练掌握植物、花卉栽培和病虫害防治技术；4、热爱园艺事业工作，良好的沟通协调能力和团队合作精神。,郑州清尘集团下辖郑州清尘环保、郑州清尘市政、河南清尘园林、河南安用机械设备等四大事业部，涵盖城市道路清扫保洁、生活垃圾处理、市政照明、道路园林绿化、环卫设备生产销售等具体业务的综合型环保公司，是中原地区唯一一家获省辖市级城市生活垃圾清运作业权的社会化企业，并与世界最先进的环卫设备生产商&md
阿莱斯特,新零售,3-5年大专,园艺师,8-10K,成都,新零售不需要融资20-99人,"市政工程师
花卉种植
园艺师
花卉植物
造型设计",五险一金，年终奖，节日福利，定期体检，带薪年假，全勤奖,五险一金定期体检全勤奖年终奖带薪年假节日福利,花卉盆景，养护花卉1、负责花卉、盆栽植物、观赏苗木等繁育、栽培、养护、应用、生产与管理。 2、制定花卉种植方案，并组织实施。 3、负责花卉植物创意设计、组合及盆栽造型设计； 4、对花圃进行耕耙、休整、改良，优化种植流程，提高成活率。 5、做好花卉景观作物种植的技术把关，保证植物能够在合适的环境生长。,阿莱斯特生态科技，是一家集高端盆栽植物花卉引进、研发、生产的综合性平台。公司团队经过多年研究积累，结合欧洲、非洲、北美、南美、大洋洲、东北亚、南亚以及中国的盆栽植物特性，邀请比利时时尚设计大师、景德镇陶艺大师、南京园艺大师，采用订制和限量制作的方式，匠心制作满足部分国内外精英人士需求的高端盆栽绿植花
梅尼超市长沙分公司,批发/零售,3-5年大专,园艺师,5-8K,张家界,批发/零售1000-9999人,"园艺
草坪
养护管理
园艺师
绿植养护",,,职责：1.管理、维护园区绿化，负责工业园区内花卉、草坪、苗木、树木的种植及日常养护管理;2.维护、管养、管理工业园区的花木健康，负责园区室内外植物花木的日常修剪，及时治理病虫害，确保花木、绿植的存活率;3.为园区相关人员提供关于绿植、盆栽养护知识的咨询及培训指导工作;4.完成领导交代的其他任务。职位要求：1.一年以上苗圃、绿植养护、农场育苗、园艺、花店等相关工作经验;具有园林、园艺类相关专业证书优先;2.有较强的视觉搭配能力，具有良好的审美观;3.热爱园艺事业，有良好的沟通协调能力及团队合作精神。,
